SUMLEV,COUNTY,PLACE,PRIMGEO_FLAG,NAME,POPTYPE,YEAR,POPULATION
162,0,2960,0,Badin town,ESTIMATESBASE,2010,1974
162,0,2960,0,Badin town,POPESTIMATE,2010,1974
162,0,2960,0,Badin town,POPESTIMATE,2011,1972
162,0,2960,0,Badin town,POPESTIMATE,2012,1957
162,0,2960,0,Badin town,POPESTIMATE,2013,1959
162,0,2960,0,Badin town,POPESTIMATE,2014,1960
162,0,2960,0,Badin town,POPESTIMATE,2015,1957
162,0,2960,0,Badin town,POPESTIMATE,2016,1951
162,0,2960,0,Badin town,POPESTIMATE,2017,1960
162,0,3020,0,Bailey town,CENSUSPOP,2010,569
162,0,3020,0,Bailey town,ESTIMATESBASE,2010,569
162,0,3020,0,Bailey town,POPESTIMATE,2010,568
162,0,3020,0,Bailey town,POPESTIMATE,2011,569
162,0,3020,0,Bailey town,POPESTIMATE,2012,567
162,0,3020,0,Bailey town,POPESTIMATE,2013,563
162,0,3020,0,Bailey town,POPESTIMATE,2014,563
162,0,3020,0,Bailey town,POPESTIMATE,2015,561
162,0,3020,0,Bailey town,POPESTIMATE,2016,561
162,0,3020,0,Bailey town,POPESTIMATE,2017,563
162,0,3100,0,Bakersville town,CENSUSPOP,2010,464
162,0,3100,0,Bakersville town,ESTIMATESBASE,2010,464
162,0,3100,0,Bakersville town,POPESTIMATE,2010,462
162,0,3100,0,Bakersville town,POPESTIMATE,2011,457
162,0,3100,0,Bakersville town,POPESTIMATE,2012,455
162,0,3100,0,Bakersville town,POPESTIMATE,2013,455
162,0,3100,0,Bakersville town,POPESTIMATE,2014,451
162,0,3100,0,Bakersville town,POPESTIMATE,2015,447
162,0,3100,0,Bakersville town,POPESTIMATE,2016,445
162,0,3100,0,Bakersville town,POPESTIMATE,2017,445
162,0,3150,0,Bald Head Island village,CENSUSPOP,2010,158
162,0,3150,0,Bald Head Island village,ESTIMATESBASE,2010,158
162,0,3150,0,Bald Head Island village,POPESTIMATE,2010,159
162,0,3150,0,Bald Head Island village,POPESTIMATE,2011,159
162,0,3150,0,Bald Head Island village,POPESTIMATE,2012,161
162,0,3150,0,Bald Head Island village,POPESTIMATE,2013,163
162,0,3150,0,Bald Head Island village,POPESTIMATE,2014,165
162,0,3150,0,Bald Head Island village,POPESTIMATE,2015,167
162,0,3150,0,Bald Head Island village,POPESTIMATE,2016,171
